cblaster search
===============
AB196490
========
AB196490.1
----------
Cluster 1, score 40.1350:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90000.1  BAE71315.1  96.7      100       1.25e-187  519       26748  27738  +     
AAS90001.1  BAE71316.1  95.8      100       0          3137      29052  34197  -     
AAS90002.1  BAE71317.1  96        100       0          3692      34886  40733  +     
AAS90003.1  BAE71318.1  93.5      100       1.66e-288  788       42011  43346  -     
AAS90004.1  BAE71319.1  95.7      100       3.21e-297  810       44085  45536  +     
AAS90005.1  BAE71320.1  94.6      100       8.39e-189  523       46097  46934  +     
AAS90006.1  BAE71321.1  94.6      100       1.25e-229  629       47854  48856  +     
AAS90008.1  BAE71323.1  99.6      100       2.43e-185  513       51244  52144  +     
AAS90009.1  BAE71324.1  94.5      100       0          957       53175  54711  +     
AAS90010.1  BAE71325.1  94.7      99.8      0          974       55762  57354  -     
AAS90011.1  BAE71326.1  97.2      100       0          980       57721  59278  -     
AAS90017.1  BAE71327.1  90.8      98.9      4.78e-180  501       60314  61163  -     
AAS90012.1  BAE71328.1  97.2      100       3.09e-280  763       61340  62675  -     
AAS90018.1  BAE71329.1  94.7      100       2.81e-290  791       63940  65427  -     
AAS90013.1  BAE71330.1  95.8      100       0          1063      66672  68623  +     
AAS90019.1  BAE71331.1  98.6      100       0          1274      69137  71124  +     
AAS90014.1  BAE71332.1  95.3      100       0          1001      71667  73316  -     
AAS90015.1  BAE71333.1  95.3      100       0          994       73930  75394  +     
AAS90016.1  BAE71334.1  95.5      100       5.97e-188  520       75944  76745  -     
AAS90020.1  BAE71335.1  93.3      97.2      0          921       77146  78697  -     


AF452809
========
AF452809.1
----------
Cluster 2, score 1.0630:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90006.1  AAN76353.1  94.9      100       6.21e-230  630       9346   10346  +     


AY371490
========
AY371490.1
----------
Cluster 3, score 48.7956:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89996.1  AAS66007.1  96.9      100       8.21e-283  769       1682   2831   -     
AAS89997.1  AAS66021.1  89.7      100       0          892       3109   4871   +     
AAS89998.1  AAS66020.1  97.5      94.8      0          951       5572   7469   +     
AAS89999.1  AAS66004.1  97.2      100       0          4152      9136   15762  -     
AAS90000.1  AAS66005.1  95.6      100       4e-184     510       17447  18437  +     
AAS90001.1  AAS66002.1  96.3      100       0          3149      19723  24844  -     
AAS90002.1  AAS66003.1  96.1      100       0          3693      25545  31391  +     
AAS90003.1  AAS66018.1  93        100       2.25e-286  783       32835  34170  -     
AAS90004.1  AAS66019.1  95.7      100       1.85e-296  808       34908  36355  +     
AAS90005.1  AAS66009.1  94.9      100       5.06e-190  526       36938  37775  +     
AAS90006.1  AAS66011.1  95.2      100       4.37e-230  630       38694  39694  +     
AAS90007.1  AAS66006.1  97.7      100       7.38e-289  785       39982  41208  +     
AAS90008.1  AAS66014.1  99.6      100       2.43e-185  513       42019  42919  +     
AAS90010.1  AAS66008.1  94.5      99.8      0          975       46527  48128  -     
AAS90011.1  AAS66013.1  97.6      100       0          980       48495  50052  -     
AAS90017.1  AAS66010.1  89.8      99.6      3.92e-182  506       51051  51909  -     
AAS90012.1  AAS66016.1  95.6      100       3.31e-275  750       52082  53418  -     
AAS90018.1  AAS66017.1  95        100       9.8e-291   792       54735  56222  -     
AAS90013.1  AAS66031.1  95.1      100       0          1056      57542  59488  +     
AAS90019.1  AAS66012.1  98.4      100       0          1276      59999  61984  +     
AAS90014.1  AAS66022.1  95.3      100       0          1003      62551  64200  -     
AAS90015.1  AAS66023.1  96.2      96.9      0          990       64820  66266  +     
AAS90016.1  AAS66024.1  92.9      100       1.84e-182  506       66829  67630  -     
AAS90020.1  AAS66025.1  94.5      99.8      0          961       67989  69582  -     


AY510451
========
AY510451.1
----------
Cluster 4, score 47.7345:
